"orgUnit","period","csb","net_p2","wealth_index","imp_water","imp_latrine","edu_prim","rotavirus","kitchen_outside","reimbursement","staff_support","chw_support","month_since_llin","build_density","twi_rice","elevation","stream_dist","csb_dist","fete_nationale","winter_season","summer_season","csb_type"
"WCqkkkKNJEi","201910","CSB1 AMBODIMANGA NORD",0.289028678793354,3.31358239405116,0.0861178003985256,0.502858024260013,0.907239933483146,0.0667401287934752,0.216632204196721,0,0,0,14,41.8,8.76458322412341,633.140762339765,842.527681989319,4690.9316352139,0,0,0,"CSB1"
"YCvVB1VwWi0","201910","CSB1 MAROMANANA",0.235371191760653,2.90223688529978,0.14316309797446,0.564465871680569,0.75643691330664,0.0582733723192594,0.202691587043055,0,0,0,14,23.8333333333333,8.66868091498134,660.492688197135,488.269052494937,6847.86395484976,0,0,0,"CSB1"
"D9UWDj19ljP","201910","CSB2 AMBOHIMIERA",0.197636067036086,2.59453755085094,0.143223177372171,0.60133360116858,0.704256818032787,0.054786375782152,0.165298380456159,0,1,0,14,17.1,8.87465936304293,698.679298569867,478.925876921912,8729.68057341825,0,0,0,"CSB2"
"U1YeJp3NDNV","201910","CSB2 AMPASINAMBO",0.298852492212101,3.18717434907827,0.0234697235856956,0.599193395829809,0.893235204830586,0.0575263773844366,0.142632461775775,0,0,0,14,17.0625,8.92575938484654,730.761661338889,203.822223446096,8342.15659201675,0,0,0,"CSB2"
"hXuxS0MOq3b","201910","CSB2 ANALAMPASINA",0.236992610039132,3.18999921139736,0.179898243749153,0.498135020613995,0.886376549934745,0.063895869591539,0.223869250014404,0,0,0,14,24.6666666666667,8.98905143231129,662.37689392944,605.13203730064,5453.02643937896,0,0,0,"CSB2"
"z6kDxHwInUT","201910","CSB2 ANDRORANGAVOLA",0.227430450073555,2.42423610690993,0.132679914570115,0.559555220692319,0.616975566875509,0.0708337146822507,0.226219719990728,0,1,0,14,6.79166666666667,8.86363732219183,327.984808628016,319.09124899632,7779.9593422556,0,0,0,"CSB2"
"h0z1bKoHDrU","201910","CSB1 MAHASOA",0.282518563522336,2.35877399573544,0.0948476204122788,0.462504710669597,0.7415072210064,0.0643283523307125,0.21174488252299,0,0,0,14,6.5,8.36080299441302,224.054043264245,408.092945672335,4027.49597247663,0,0,0,"CSB1"
"okDqhh9n4yT","201910","CSB2 ANTARETRA",0.269726294705156,3.03965399937588,0.222917612627483,0.801160646118861,0.780806413904752,0.0743005408081892,0.279489335117932,1,1,1,14,9.8,8.80376414355619,242.813149331428,288.635125946739,8094.93261124589,0,0,0,"CSB2"
"pczrAub8lnt","201910","CSB2 ANTSINDRA",0.247286214472725,2.64303706173334,0.088452412363153,0.638999103559427,0.718324931063875,0.0565102667611472,0.255376202194864,0,0,0,14,14,8.82791155452434,391.877661490839,470.713580074275,8796.54727794204,0,0,0,"CSB2"
"EE6WwIMgQ0F","201910","CSB2 FASINTSARA",0.327681435438132,3.25073913881592,0.0515654915369604,0.490194833785357,0.907169057041565,0.0698270687165051,0.174754523316484,0,0,0,14,32.375,8.98867244027816,648.014800191517,353.861601916157,5279.10941020074,0,0,0,"CSB2"
"M38BJM8ju1A","201910","CSB1 AMBODIARA SUD",0.329905606043253,2.99126474655368,0.0533924357819269,0.535079927302126,0.772372055559938,0.0577729865723075,0.195077330151198,0,1,0,14,45.25,8.69055130650909,619.150355251558,281.241392005096,4887.54131714281,0,0,0,"CSB1"
"O1wNJut8eci","201910","CSB2 IFANADIANA",0.340954944079159,3.739014028778,0.36815111942004,0.788151283435794,0.869366601206721,0.11291109291425,0.311498945629404,1,1,1,14,10.8888888888889,8.86196997304004,459.684711710178,447.38084265739,5926.91473917878,0,0,0,"CSB2"
"RRe6ic0AU1Z","201910","CSB2 KELILALINA",0.268120061596304,3.39650490364093,0.201802107941966,0.755126077026906,0.833272119448442,0.0968689657413095,0.240959940126995,1,1,1,14,33.25,8.7547628729086,569.678644514402,512.965888713958,6426.76732658677,0,0,0,"CSB2"
"QHPyq70qulM","201910","CSB1 AMBALAVOLO",0.299785427046425,2.58689853099192,0.042102972954054,0.40226298142223,0.720065873874124,0.0583204518626538,0.235293824811075,0,0,0,14,39.8,8.80046357133949,387.811149616073,326.801746824385,6208.96611513214,0,0,0,"CSB1"
"ZPvH8UsgwYv","201910","CSB2 MAROHARATRA",0.315696403135592,2.97623511328233,0.0943675388028735,0.475349379138157,0.730703787485762,0.070025867411962,0.226581863632413,0,0,0,14,36.0357142857143,8.93819737213145,551.261999124125,347.610053134285,7136.5735855492,0,0,0,"CSB2"
"DDR2w1c1GyE","201910","CSB2 MAROTOKO",0.241524944250378,2.3263996110212,0.0617505612307936,0.41588726822794,0.689581005100012,0.0538126253095918,0.227271284936534,0,0,0,14,10.3,8.73714252953916,255.495864798308,423.229723936897,9714.53013076759,0,0,0,"CSB2"
"r4U7PhBKR7S","201910","CSB2 RANOMAFANA",0.271245786936971,3.90263309159394,0.420408112022189,0.732235846119904,0.899491222330439,0.0802302929028315,0.283106386875312,1,1,1,14,31.25,8.86347419124383,632.370559262361,472.110907572553,7389.72545730893,0,0,0,"CSB2"
"uWoBok9YyvB","201910","CSB2 TSARATANANA",0.231027035632178,2.67941246763004,0.111213281892214,0.687396670268718,0.786200823790104,0.0604835322508518,0.206770220890071,1,1,1,14,13.1470588235294,8.76556745581118,390.711046817702,433.095614233824,10078.5189781723,0,0,0,"CSB2"
"Pi2y9HFBDRj","201910","CSB1 ANALAMARINA",0.22770684704798,2.458625835188,0.0577533323565279,0.610831001102098,0.746026244502739,0.0481303527203928,0.167224035602815,0,0,0,14,7.83333333333333,8.81905693913841,505.131171699929,691.130057109938,7034.49898405298,0,0,0,"CSB1"
"FGM6Ric1YnC","201911","CSB2 AMBIABE",0.231796687320123,2.66582411703804,0.158203930947701,0.684441134065332,0.670151106714069,0.0792780301236549,0.190705124945141,0,0,1,15,6.66666666666667,8.62781498539158,478.633838667893,479.754699976328,7614.98976959998,0,0,1,"CSB2"
